"Zeitstempel","User ID","Wie alt bist du?","Wie häufig nutzt du die folgenden Dinge? [Smartphone]","Wie häufig nutzt du die folgenden Dinge? [Tablet]","Wie häufig nutzt du die folgenden Dinge? [Multitouch-Tisch]","Wie häufig nutzt du die folgenden Dinge? [Tangibles]","Wie häufig nutzt du die folgenden Dinge? [Videospiele]","Was denkst du welche Variante am besten für die Aufgabenstellung geeignet ist?","Welche Variante möchtest du als erstes ausprobieren?","Insgesamt empfinde ich die Interaktion als [.]","Für das Erreichen meiner Ziele empfinde ich die Interaktion als  [.]","Die Interaktion empfinde ich als [.]","Die Bedienung wirkt auf mich [.]","Die Beschäftigung bzw. das Arbeiten empfinde ich als  [.]","Die Idee der Interaktion für diesen Anwendungsfall  finde ich  [.]","Die Reaktion der Anwendung auf meine Eingaben und Befehle empfinde ich als  [.]","Die Möglichkeit diese Art der Interaktion zu nutzen empfinde ich als  [.]","Womit möchtest du weitermachen?","Insgesamt empfinde ich die Interaktion als [.]","Für das Erreichen meiner Ziele empfinde ich die Interaktion als  [.]","Die Interaktion empfinde ich als [.]","Die Bedienung wirkt auf mich [.]","Die Beschäftigung bzw. das Arbeiten empfinde ich als  [.]","Die Idee der Interaktion für diesen Anwendungsfall  finde ich  [.]","Die Reaktion der Anwendung auf meine Eingaben und Befehle empfinde ich als  [.]","Die Möglichkeit diese Art der Interaktion zu nutzen empfinde ich als  [.]","Womit möchtest du weitermachen?","Insgesamt empfinde ich die Interaktion als [.]","Für das Erreichen meiner Ziele empfinde ich die Interaktion als  [.]","Die Interaktion empfinde ich als [.]","Die Bedienung wirkt auf mich [.]","Die Beschäftigung bzw. das Arbeiten empfinde ich als  [.]","Die Idee der Interaktion für diesen Anwendungsfall  finde ich  [.]","Die Reaktion der Anwendung auf meine Eingaben und Befehle empfinde ich als  [.]","Die Möglichkeit diese Art der Interaktion zu nutzen empfinde ich als  [.]","Womit möchtest du weitermachen?","Insgesamt empfinde ich die Interaktion als [.]","Für das Erreichen meiner Ziele empfinde ich die Interaktion als  [.]","Die Interaktion empfinde ich als [.]","Die Bedienung wirkt auf mich [.]","Die Beschäftigung bzw. das Arbeiten empfinde ich als  [.]","Die Idee der Interaktion für diesen Anwendungsfall  finde ich  [.]","Die Reaktion der Anwendung auf meine Eingaben und Befehle empfinde ich als  [.]","Die Möglichkeit diese Art der Interaktion zu nutzen empfinde ich als  [.]","Womit möchtest du weitermachen?","Was denkst du mit welcher Variante du am schnellsten warst? [Strecke 1]","Was denkst du mit welcher Variante du am schnellsten warst? [Strecke 2]","Was denkst du mit welcher Variante du am schnellsten warst? [Strecke 3]","Was denkst du mit welcher Variante du am genauesten warst? [Strecke 1]","Was denkst du mit welcher Variante du am genauesten warst? [Strecke 2]","Was denkst du mit welcher Variante du am genauesten warst? [Strecke 3]","Sortiere die Varianten danach welche dir für die Aufgabenstellung insgesamt am besten gefallen hat [Platz 1]","Sortiere die Varianten danach welche dir für die Aufgabenstellung insgesamt am besten gefallen hat [Platz 2]","Sortiere die Varianten danach welche dir für die Aufgabenstellung insgesamt am besten gefallen hat [Platz 3]","Sortiere die Varianten danach welche dir für die Aufgabenstellung insgesamt am besten gefallen hat [Platz 4]"
"2024/11/21 5:04:07 PM MEZ","1","28","täglich","regelmäßig","regelmäßig","regelmäßig","regelmäßig","Touch - Geste","Tangible - Joystick","angenehm","eher ineffizient","eher einfach","einleuchtend","eher langweilig","eher herkömmlich","vorhersagbar","eher nutzlos","Fertig","neutral","neutral","eher kompliziert","neutral","eher spannend","eher neuartig","eher unberechenbar","neutral","Tangible - Auto","angenehm","eher effizient","eher einfach","einleuchtend","spannend","neuartig","eher vorhersagbar","eher nützlich","Touch - Gesten","eher angenehm","eher effizient","eher kompliziert","eher einleuchtend","spannend","neuartig","vorhersagbar","eher nützlich","Touch - Joystick","Tangible - Joystick","Tangible - Auto","Tangible - Joystick","Tangible - Auto","Tangible - Joystick","Touch - Geste","Tangible - Joystick","Tangible - Auto","Touch - Gesten","Touch - Joystick"
"2024/11/22 5:09:00 PM MEZ","2","35","täglich","täglich","schon einmal genutzt","schon einmal genutzt","regelmäßig","Tangible - Joystick","Tangible - Joystick","eher angenehm","neutral","eher einfach","einleuchtend","eher spannend","neutral","eher vorhersagbar","eher nützlich","Touch - Joystick","angenehm","eher effizient","einfach","einleuchtend","eher spannend","eher neuartig","eher vorhersagbar","nützlich","Tangible - Auto","angenehm","effizient","eher einfach","einleuchtend","spannend","neuartig","eher vorhersagbar","nützlich","Fertig","angenehm","effizient","eher einfach","einleuchtend","eher spannend","neuartig","vorhersagbar","eher nützlich","Touch - Gesten","Tangible - Joystick","Touch - Joystick","Tangible - Auto","Tangible - Joystick","Tangible - Joystick","Tangible - Auto","Tangible - Joystick","Tangible - Auto","Touch - Joystick","Touch - Gesten"
"2024/11/24 4:27:55 PM MEZ","3","36","täglich","regelmäßig","schon einmal genutzt","noch nie","schon einmal genutzt","Touch - Geste","Touch - Geste","eher unangenehm","eher ineffizient","neutral","einleuchtend","eher langweilig","herkömmlich","neutral","eher nützlich","Touch - Joystick","unangenehm","eher ineffizient","kompliziert","neutral","eher spannend","neutral","unberechenbar","neutral","Tangible - Joystick","angenehm","eher effizient","eher einfach","neutral","spannend","neuartig","eher vorhersagbar","eher nützlich","Fertig","neutral","eher ineffizient","neutral","eher einleuchtend","eher spannend","neuartig","eher unberechenbar","eher nützlich","Tangible - Auto","Tangible - Joystick","Tangible - Auto","Tangible - Auto","Tangible - Auto","Tangible - Auto","Tangible - Auto","Tangible - Auto","Touch - Gesten","Tangible - Joystick","Touch - Joystick"
"2024/11/24 5:20:41 PM MEZ","4","35","täglich","regelmäßig","schon einmal genutzt","noch nie","schon einmal genutzt","Touch - Geste","Tangible - Auto","eher angenehm","eher effizient","eher einfach","neutral","neutral","neutral","vorhersagbar","eher nützlich","Tangible - Joystick","eher angenehm","neutral","eher einfach","eher einleuchtend","neutral","eher herkömmlich","neutral","eher nützlich","Fertig","eher angenehm","eher effizient","eher einfach","eher einleuchtend","spannend","eher neuartig","vorhersagbar","nützlich","Touch - Gesten","eher unangenehm","eher ineffizient","eher kompliziert","nicht einleuchtend","neutral","neutral","eher unberechenbar","neutral","Touch - Joystick","Tangible - Auto","Tangible - Auto","Tangible - Auto","Tangible - Auto","Tangible - Auto","Tangible - Auto","Tangible - Auto","Tangible - Joystick","Touch - Joystick","Touch - Gesten"
"2024/11/26 4:49:32 PM MEZ","5","29","täglich","hin und wieder","regelmäßig","regelmäßig","hin und wieder","Touch - Geste","Tangible - Auto","neutral","neutral","einfach","einleuchtend","eher langweilig","herkömmlich","vorhersagbar","nützlich","Touch - Joystick","angenehm","effizient","eher einfach","eher einleuchtend","spannend","eher neuartig","vorhersagbar","nützlich","Tangible - Joystick","angenehm","neutral","eher kompliziert","neutral","spannend","neuartig","vorhersagbar","nützlich","Touch - Gesten","eher angenehm","eher effizient","einfach","eher einleuchtend","spannend","eher neuartig","eher vorhersagbar","nützlich","Fertig","Touch - Joystick","Touch - Joystick","Touch - Joystick","Tangible - Auto","Tangible - Joystick","Tangible - Joystick","Tangible - Auto","Touch - Joystick","Tangible - Joystick","Touch - Gesten"
"2024/11/26 6:06:45 PM MEZ","6","36","täglich","regelmäßig","noch nie","noch nie","schon einmal genutzt","Touch - Geste","Touch - Geste","angenehm","eher effizient","einfach","einleuchtend","neutral","eher herkömmlich","eher vorhersagbar","nützlich","Touch - Joystick","eher unangenehm","neutral","eher kompliziert","neutral","eher spannend","eher neuartig","neutral","neutral","Tangible - Joystick","eher angenehm","effizient","neutral","eher einleuchtend","spannend","neuartig","eher vorhersagbar","eher nützlich","Fertig","angenehm","effizient","eher einfach","eher einleuchtend","spannend","neuartig","vorhersagbar","nützlich","Tangible - Auto","Tangible - Joystick","Tangible - Joystick","Tangible - Auto","Tangible - Joystick","Tangible - Auto","Tangible - Joystick","Tangible - Joystick","Tangible - Auto","Touch - Gesten","Touch - Joystick"
"2024/11/26 7:14:14 PM MEZ","7","37","täglich","hin und wieder","noch nie","noch nie","schon einmal genutzt","Touch - Joystick","Touch - Joystick","angenehm","effizient","einfach","einleuchtend","eher langweilig","herkömmlich","vorhersagbar","nützlich","Tangible - Joystick","eher unangenehm","eher ineffizient","kompliziert","neutral","eher spannend","eher herkömmlich","eher vorhersagbar","neutral","Touch - Gesten","angenehm","neutral","neutral","eher einleuchtend","spannend","neuartig","eher vorhersagbar","nützlich","Fertig","neutral","eher effizient","neutral","eher einleuchtend","spannend","neuartig","eher vorhersagbar","eher nützlich","Tangible - Auto","Tangible - Joystick","Tangible - Joystick","Tangible - Auto","Touch - Geste","Touch - Geste","Tangible - Auto","Touch - Gesten","Tangible - Auto","Tangible - Joystick","Touch - Joystick"
"2024/11/28 4:37:34 PM MEZ","8","28","täglich","hin und wieder","schon einmal genutzt","schon einmal genutzt","schon einmal genutzt","Touch - Geste","Touch - Geste","eher angenehm","effizient","eher einfach","einleuchtend","eher spannend","eher herkömmlich","eher vorhersagbar","eher nützlich","Touch - Joystick","neutral","eher effizient","eher kompliziert","neutral","eher spannend","neutral","eher unberechenbar","eher nützlich","Tangible - Joystick","eher unangenehm","ineffizient","eher kompliziert","neutral","eher spannend","neutral","neutral","neutral","Fertig","eher angenehm","effizient","eher einfach","eher einleuchtend","spannend","eher neuartig","eher vorhersagbar","eher nützlich","Tangible - Auto","Tangible - Joystick","Tangible - Joystick","Tangible - Auto","Touch - Geste","Touch - Joystick","Tangible - Joystick","Tangible - Joystick","Touch - Joystick","Tangible - Auto","Touch - Gesten"
"2024/11/29 4:05:18 PM MEZ","9","45","täglich","regelmäßig","regelmäßig","regelmäßig","hin und wieder","Touch - Geste","Tangible - Auto","neutral","neutral","eher kompliziert","neutral","eher langweilig","herkömmlich","eher vorhersagbar","neutral","Touch - Joystick","eher angenehm","eher effizient","eher einfach","eher einleuchtend","neutral","eher neuartig","eher vorhersagbar","eher nützlich","Tangible - Joystick","eher angenehm","eher effizient","eher einfach","einleuchtend","eher spannend","eher neuartig","vorhersagbar","nützlich","Touch - Gesten","eher angenehm","neutral","eher kompliziert","eher einleuchtend","neutral","eher neuartig","neutral","eher nützlich","Fertig","Touch - Joystick","Touch - Joystick","Touch - Joystick","Tangible - Auto","Tangible - Auto","Touch - Geste","Tangible - Auto","Touch - Joystick","Tangible - Joystick","Touch - Gesten"
"2024/12/05 10:13:41 AM MEZ","10","40","täglich","regelmäßig","hin und wieder","hin und wieder","hin und wieder","Touch - Geste","Touch - Geste","eher angenehm","neutral","eher einfach","einleuchtend","langweilig","eher herkömmlich","vorhersagbar","neutral","Tangible - Joystick","eher unangenehm","eher ineffizient","eher einfach","eher einleuchtend","eher langweilig","neutral","eher vorhersagbar","neutral","Fertig","angenehm","effizient","einfach","einleuchtend","spannend","neutral","eher vorhersagbar","eher nützlich","Touch - Joystick","eher unangenehm","eher ineffizient","eher kompliziert","eher nicht einleuchtend","neutral","neutral","eher unberechenbar","nutzlos","Tangible - Auto","Tangible - Auto","Tangible - Auto","Tangible - Auto","Touch - Geste","Tangible - Auto","Touch - Geste","Tangible - Auto","Touch - Gesten","Touch - Joystick","Tangible - Joystick"
"2024/12/07 4:38:21 PM MEZ","11","36","täglich","hin und wieder","noch nie","noch nie","hin und wieder","Touch - Geste","Tangible - Auto","neutral","eher ineffizient","einfach","einleuchtend","eher langweilig","herkömmlich","vorhersagbar","neutral","Tangible - Joystick","neutral","eher effizient","eher einfach","eher einleuchtend","neutral","neutral","eher vorhersagbar","neutral","Fertig","eher angenehm","effizient","eher einfach","einleuchtend","eher spannend","neuartig","vorhersagbar","eher nützlich","Touch - Gesten","neutral","effizient","einfach","einleuchtend","eher spannend","neutral","eher vorhersagbar","nützlich","Touch - Joystick","Touch - Joystick","Tangible - Joystick","Touch - Joystick","Tangible - Joystick","Tangible - Joystick","Tangible - Joystick","Tangible - Joystick","Tangible - Auto","Touch - Joystick","Touch - Gesten"
"2024/12/07 5:40:16 PM MEZ","12","36","täglich","regelmäßig","schon einmal genutzt","noch nie","hin und wieder","Touch - Geste","Tangible - Auto","eher unangenehm","eher effizient","eher einfach","eher einleuchtend","langweilig","herkömmlich","vorhersagbar","nützlich","Fertig","eher unangenehm","neutral","neutral","einleuchtend","eher spannend","eher herkömmlich","eher vorhersagbar","neutral","Touch - Gesten","angenehm","eher effizient","eher einfach","eher einleuchtend","spannend","neutral","eher vorhersagbar","nützlich","Tangible - Joystick","angenehm","eher effizient","eher einfach","einleuchtend","spannend","eher neuartig","eher vorhersagbar","nützlich","Touch - Joystick","Tangible - Joystick","Tangible - Auto","Tangible - Auto","Tangible - Auto","Touch - Joystick","Tangible - Auto","Tangible - Auto","Tangible - Joystick","Touch - Joystick","Touch - Gesten"
"2024/12/11 4:10:15 PM MEZ","13","23","täglich","regelmäßig","schon einmal genutzt","noch nie","hin und wieder","Touch - Geste","Touch - Geste","angenehm","eher effizient","einfach","einleuchtend","eher langweilig","herkömmlich","vorhersagbar","eher nützlich","Touch - Joystick","neutral","neutral","eher kompliziert","neutral","neutral","eher neuartig","eher unberechenbar","neutral","Tangible - Joystick","angenehm","eher effizient","neutral","eher einleuchtend","spannend","neuartig","eher vorhersagbar","nützlich","Fertig","angenehm","effizient","eher einfach","einleuchtend","spannend","eher neuartig","vorhersagbar","nützlich","Tangible - Auto","Touch - Geste","Touch - Geste","Touch - Geste","Touch - Geste","Tangible - Joystick","Tangible - Joystick","Tangible - Joystick","Touch - Gesten","Tangible - Auto","Touch - Joystick"
"2024/12/11 5:31:24 PM MEZ","14","39","regelmäßig","hin und wieder","regelmäßig","regelmäßig","schon einmal genutzt","Tangible - Auto","Touch - Geste","eher angenehm","eher effizient","einfach","einleuchtend","eher spannend","neutral","vorhersagbar","nützlich","Touch - Joystick","angenehm","effizient","einfach","eher einleuchtend","spannend","neuartig","vorhersagbar","nützlich","Tangible - Joystick","eher angenehm","eher effizient","eher einfach","einleuchtend","eher spannend","eher neuartig","eher vorhersagbar","eher nützlich","Fertig","angenehm","effizient","einfach","einleuchtend","spannend","neuartig","vorhersagbar","nützlich","Tangible - Auto","Tangible - Auto","Tangible - Auto","Tangible - Joystick","Tangible - Joystick","Touch - Joystick","Tangible - Joystick","Tangible - Joystick","Touch - Joystick","Tangible - Auto","Touch - Gesten"
"2024/12/12 4:19:01 PM MEZ","15","30","täglich","hin und wieder","schon einmal genutzt","noch nie","schon einmal genutzt","Tangible - Auto","Touch - Geste","angenehm","effizient","einfach","neutral","eher spannend","eher neuartig","eher vorhersagbar","nützlich","Touch - Joystick","neutral","neutral","neutral","eher nicht einleuchtend","neutral","neutral","eher vorhersagbar","neutral","Tangible - Joystick","neutral","eher effizient","neutral","eher nicht einleuchtend","eher spannend","eher neuartig","neutral","eher nützlich","Fertig","neutral","neutral","eher einfach","eher nicht einleuchtend","eher spannend","neuartig","neutral","neutral","Tangible - Auto","Tangible - Auto","Touch - Joystick","Touch - Geste","Touch - Geste","Touch - Joystick","Tangible - Auto","Touch - Joystick","Tangible - Auto","Tangible - Joystick","Touch - Gesten"